prefix,group,source,round,source_cycle,execution_index,benchmark,cpu,raw_benchmark,iterations,ns_op,bytes_op,allocs_op,comparison,note,raw_file
r9,public,baseline,1,1,13,BenchmarkSessionValidateRetainedIdentityPaths,,BenchmarkSessionValidateRetainedIdentityPaths,86,3187028,651841,4025,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateDisjointIdentityPaths/lexical,,BenchmarkSessionValidateDisjointIdentityPaths/lexical,12,18794746,181640,307,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateDisjointIdentityPaths/expanded,,BenchmarkSessionValidateDisjointIdentityPaths/expanded,7,29103696,163123,348,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateDisjointIdentityPaths/expanded_distinct_namespaces,,BenchmarkSessionValidateDisjointIdentityPaths/expanded_distinct_namespaces,6,37956458,3348497,32998,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateDisjointIdentityPaths/expanded_distinct_control,,BenchmarkSessionValidateDisjointIdentityPaths/expanded_distinct_control,7,33232024,545968,32419,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateExpandedIdentityPaths,,BenchmarkSessionValidateExpandedIdentityPaths,100,2022640,359797,2528,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateSharedExpandedIdentityPrefix/identity,,BenchmarkSessionValidateSharedExpandedIdentityPrefix/identity,10,21071062,4743599,19811,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateSharedExpandedIdentityPrefix/control,,BenchmarkSessionValidateSharedExpandedIdentityPrefix/control,20,11880390,5249,19,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkCompileCountedChoiceDFA/small,,BenchmarkCompileCountedChoiceDFA/small,1341,186089,193329,752,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkCompileCountedChoiceDFA/medium,,BenchmarkCompileCountedChoiceDFA/medium,1005,245716,259461,1402,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkCompileCountedChoiceDFA/large,,BenchmarkCompileCountedChoiceDFA/large,634,367675,360035,2331,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkCompileSubstitutionGroups,,BenchmarkCompileSubstitutionGroups,349,674866,460032,1621,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkCompileAttributeGroupFanout/refs_1,,BenchmarkCompileAttributeGroupFanout/refs_1,1738,139607,164816,416,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkCompileAttributeGroupFanout/refs_10,,BenchmarkCompileAttributeGroupFanout/refs_10,1210,204212,204440,756,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkCompileAttributeGroupFanout/refs_100,,BenchmarkCompileAttributeGroupFanout/refs_100,303,797916,655064,3564,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkCompileAttributeGroupFanout/refs_1000,,BenchmarkCompileAttributeGroupFanout/refs_1000,37,7115077,5075472,30004,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkCompileRegexCategoryEscapes,,BenchmarkCompileRegexCategoryEscapes,81,2989171,6693491,9768,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkCompileDeepSimpleTypeChain,,BenchmarkCompileDeepSimpleTypeChain,28,8699371,2268158,8478,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkCompileRepeatedNestedUnionMembers,,BenchmarkCompileRepeatedNestedUnionMembers,210,1125200,830432,4784,paired,,r9-public-1-baseline.txt
